TargetID,WGAAD-144,WGAAD-148,WGAAD-15,WGAAD-156,WGAAD-158,WGAAD-165,WGAAD-166,WGAAD-171,WGAAD-175,WGAAD-178,WGAAD-179,WGAAD-18,WGAAD-184,WGAAD-186,WGAAD-187,WGAAD-188,WGAAD-189,WGAAD-190,WGAAD-191,WGAAD-192,WGAAD-193,WGAAD-194,WGAAD-195,WGAAD-196,WGAAD-199,WGAAD-20,WGAAD-200,WGAAD-201,WGAAD-202,WGAAD-230,WGAAD-231,WGAAD-232,WGAAD-234,WGAAD-236,WGAAD-237,WGAAD-238,WGAAD-239,WGAAD-24,WGAAD-242,WGAAD-243
GI_10835229-S,961.2,2098.3,1063.2,2521,633.2,969.4,1916.3,2999.5,1524.5,2083.6,1132.5,1562.1,626.1,1639.1,4165.1,2359.7,927.4,633.1,1624.8,1324.2,4296.9,2275.3,2439.2,1534.7,329.8,2267,1977.5,2034,1814.9,2439.7,1139.5,1221.5,1643.9,748.3,455.1,3118.5,1068.5,578.5,2535.8,1204.6
GI_10862690-S,258.2,218,213.1,164.7,166.5,197.2,301.2,250.2,200.3,331.4,200.1,191.3,107.2,219.3,273.7,236.1,323.8,385.6,310.3,300.1,283.8,224.6,255.3,226.4,242.5,203.8,310.8,297.4,217.4,259.7,249.5,328.9,207.5,298.7,184.1,185.8,249.3,189.4,360.2,399.8
GI_10862697-S,41.8,199.8,164.5,178.4,40.1,91.3,270.6,187.6,331.1,176.5,130.9,189.2,133.4,15,167.4,289.6,303.3,209.8,201.4,193.8,149.6,95.1,129.6,155.3,120.6,117.3,105.8,121.1,98,31,66.4,270.6,280.7,240.9,77.7,156.1,172.7,126.8,98.8,311.8
GI_10863870-S,85.6,97.4,74.9,63.8,31.2,84.6,148.6,48.7,126.4,111.6,43.3,80.1,54.3,30.1,81.7,91.3,97,148.7,132.5,157.4,152.2,70,94.4,60.9,51.7,139.2,58.8,107.1,110.6,46.4,65.7,69.3,83.1,62.3,30.4,49.7,51.6,95.6,71,NaN
GI_10863874-S,12523.2,13049.8,16445.7,13634.4,10166.7,11364.6,19216.7,17880.1,19489.2,13957.7,10621.7,13409.9,11505.5,9044.5,14460.1,17907.2,19110.7,25981.2,20174.5,15478.5,21990.5,11356.6,12624.5,18745.8,11065.9,14026.9,8849.2,16128.5,14905.6,7612.7,10891.4,16951.3,12895.4,18494.9,7516.9,8373.1,9640.1,13832.8,15661.5,11438.6
GI_10863878-S,158.2,166.4,249.3,124.8,243.8,146.4,107.2,120.5,122.4,111.2,134.7,396.5,160.4,143,280,150,274.4,323.2,168.6,167.4,299.3,86.1,217.2,100.5,84.8,205,159.8,160.7,238.8,156.6,155.4,327.9,156.8,299.1,175.4,225.8,171.1,136.2,139.1,213.3
GI_10863902-S,213.2,174.5,156.6,220.2,366.5,245.1,256.1,232,232.3,265.9,288.8,213.5,214.8,418.9,239.8,192.5,262.7,276.3,239.4,203.6,218.9,236.4,188.5,224.4,248.4,142.6,169,205.3,225.5,241.9,279.2,239,317,294.8,221.5,220.4,226.4,216.1,350.9,116.7
GI_10863908-S,521.8,248,170.8,226.1,316.8,337.9,116.8,112.2,120,89.6,264.1,168.3,549.8,459,127.9,223.5,61.8,NaN,72.3,133.1,66.4,322.3,161.9,244.6,304.8,212,207.8,186.9,320.5,385,291.6,126.4,196.6,317.2,275.7,276.4,222.9,187.7,484.2,95
GI_10863934-S,3366.8,1661.9,2212.3,1546.1,5322.1,2334.6,656,604.4,714.4,1083.5,3067.3,2052.1,4225.6,5312.1,1119.4,1351.1,523.3,336.3,543.1,1031.3,905.2,3228.8,1375.5,1765.8,2479.3,2062.4,1774.7,1239.4,3189,4348.2,3022,1257.4,1466.4,1688.2,4025.3,2864.2,2762.4,2455.4,1640.8,851.6
GI_10863946-S,198.5,196.2,147.9,185.9,288.5,214.7,182.6,166,153,288.8,255.1,277.8,194.6,322.9,183.9,203.5,230.4,180.9,235.1,191.5,173.3,222.6,216,255.4,211.7,151.4,205,213.3,195.8,304.8,274.7,237.5,239.3,240.9,263.6,229.9,259.6,237.8,319.6,196.6
GI_10863950-S,132.9,64,111.4,115.1,160.3,124.2,39.8,93.2,122,128.5,89.7,81.2,104.7,159.4,152.1,141.4,197.7,103.6,62.4,113,121,110.7,137.3,108.1,96.4,141.5,95.3,125.8,131.4,108.6,136.9,87.2,48.7,132,165.2,187.3,136.5,126.3,115.9,138.9
GI_10863972-S,148.8,79.5,1166.2,197.5,25.5,311.7,139.3,577.8,199.1,64.6,710.9,462.5,33.1,192.8,49,76,101.5,110.5,74.4,459.2,403.9,41.3,137.7,44,209.1,70.5,37.8,94.1,100.8,154.7,146.2,123.1,46.3,42.3,178,50.9,111,158.2,493.5,NaN
GI_10863984-S,150.8,166.3,202.4,165.7,98.6,130.3,212.5,151.4,174.9,159,113.2,195.8,122.8,103.2,218.3,158.4,108.9,230.5,174.6,180.7,182.1,118.4,157,156.1,137.7,163.8,156.5,165.3,132.7,118.3,107.8,131.4,156.6,168.6,117.5,161.8,145.9,206.9,131.3,217.5
GI_10863994-S,85.3,133.4,84.7,124,164.6,117,132.1,137.1,114.5,129.1,148.4,134.6,106.5,156.1,119.2,93.9,136,74.2,101,98.6,61.6,123.5,115.5,127.9,132.2,111.9,116.1,109.5,71.5,124.5,141.7,114.6,167.1,133,142.9,134.9,132.1,106.3,170.2,87
GI_10863996-S,133.9,171.2,103.8,159.7,196.7,177.5,158.9,109.5,128.9,171.4,212,107.1,117.4,274,146.5,100.3,133.9,92,161.2,113.3,116.2,202.4,121.8,176.5,223.3,100,184.6,111.8,140.8,230.4,217.4,244.3,177.9,131.5,209.2,145.1,160.4,156,192.5,88.7
GI_10864008-I,235.3,490.9,457.5,444.8,155.7,366.8,777.1,690.3,626.7,574.1,348.8,472.4,174.5,164.9,529.7,522.9,548.3,1097.9,581.7,512.2,891.9,304.5,504.3,457.1,374.4,383.4,346.5,444.4,441,252.2,271.5,702.8,423.9,498.4,152.8,300.1,400.3,443.1,409.8,581.8
GI_10864010-S,154.8,197.7,288.4,150.4,217.7,165.9,219.6,323.1,307.6,190.6,210.2,186.9,48.5,186,216.1,193,335.5,313.5,221,294.8,231.4,137.5,162.9,224.9,163.2,122.1,111.7,193.2,181.9,164.2,280,259.3,183.8,367.6,85.3,115.2,190.1,167,483.7,192
